game_id,names,min_players,max_players,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category,designer,weight
182619,M.U.L.E. The Board Game,3,4,90,120,2015,6.6617,5.7718,358,14,"Action Point Allowance System, Auction/Bidding, Commodity Speculation, Trading, Variable Player Powers, Worker Placement",727,"Economic, Exploration, Video Game Theme",Heikki Harju,2.625
146,Buy Low Sell High,2,4,45,45,1996,6.14865,5.7714099999999995,844,10,Commodity Speculation,1175,Economic,Reiner Knizia,1.9905
191579,Teenage Mutant Ninja Turtles Dice Masters,2,4,60,60,2016,7.36883,5.77134,191,14,"Deck / Pool Building, Dice Rolling, Variable Player Powers",688,"Collectible Components, Comic Book / Strip, Dice, Fighting","Mike Elliott, Eric M. Lang",2.0
34659,The Spanish Civil War 1936-1939,1,2,360,360,2010,7.37829,5.77119,205,0,"Chit-Pull System, Hex-and-Counter",721,"Civil War, Wargame, World War II",Javier Romero,3.0976
7103,Ace of Aces: Flying Machines,2,2,20,20,1983,6.952610000000001,5.77118,268,12,"Simulation, Simultaneous Action Selection",470,"Aviation / Flight, Wargame, World War I",Alfred Leonardi,1.6857
67453,Caveman Curling,2,6,20,20,2010,6.3354,5.7710300000000005,544,6,Partnerships,893,"Action / Dexterity, Prehistoric, Sports",Daniel Quodbach,1.16
153497,This Town Ain't Big Enough for the 2-4 of Us,2,4,15,15,2014,6.10189,5.77079,893,8,"Area Control / Area Influence, Area Enclosure, Tile Placement",2708,"Abstract Strategy, American West, Print & Play","Jay Cormier, Sen-Foong Lim",1.36
1942,Foppen,3,6,20,20,1995,6.5941600000000005,5.77078,368,8,"Hand Management, Trick-taking",366,Card Game,Friedemann Friese,1.6471
225729,Arkham Noir: Case #1 – The Witch Cult Murders,1,1,30,30,2017,7.13523,5.77075,230,14,"Hand Management, Set Collection",687,"Adventure, Card Game, Fantasy, Horror, Novel-based",Yves Tourigny,1.875
11081,Familienbande,2,4,20,20,2004,6.304930000000001,5.77073,560,8,Hand Management,574,Card Game,Leo Colovini,1.6462
10642,"Barbarossa: Army Group North, 1941",1,4,300,300,2000,7.987139999999999,5.77067,147,12,"Dice Rolling, Hex-and-Counter",467,"Wargame, World War II","Tony Curtis, Vance von Borries",4.16
10206,Make 'n' Break,2,4,30,30,2004,6.10914,5.7705,901,8,Pattern Building,1617,"Action / Dexterity, Card Game","Jack Lawson, Andrew Lawson",1.284
103651,23,2,4,25,25,2011,6.45337,5.770230000000001,426,8,Hand Management,525,Card Game,Christoph Behre,1.2381
79067,Hex Hex XL,3,6,20,20,2010,6.75547,5.769830000000001,322,14,Hand Management,797,Card Game,"Justin Brunetto, Curt Covert",1.75
41762,Fastrack,2,2,10,10,2008,6.46574,5.76981,430,5,none,817,"Action / Dexterity, Children's Game",Jean-Marie Albert,1.0
24416,Santy Anno,3,8,30,30,2006,6.33712,5.76978,535,10,none,738,Pirates,Alain Orban,1.4909
204605,Unicornus Knights,2,6,60,90,2016,7.16827,5.76978,226,12,"Co-operative Play, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers",662,Fantasy,"Seiji Kanai, Kuro",3.5556
213953,Pyramid Poker,2,2,10,30,2017,6.80836,5.76967,293,12,"Pattern Building, Press Your Luck",538,none,"Aaron Weissblum, Norman Woods",1.5
9139,Marco Polo Expedition,2,5,45,45,2004,6.19741,5.76957,740,8,"Card Drafting, Hand Management, Set Collection",941,"Animals, Arabian, Racing, Travel",Reiner Knizia,1.8
1421,Lost Worlds,2,2,10,10,1983,6.50657,5.7695099999999995,428,10,"Rock-Paper-Scissors, Simultaneous Action Selection, Variable Player Powers",1308,"Book, Fantasy, Fighting, Medieval","C. Calhoun, William Fortin, Dennis Greci, Alfred Leonardi, Mary Leonardi, Nancy Loomis, Hal McKinney, Paul S. Weintraub, Michael Stackpole",1.6905
191877,Touria,2,4,45,60,2016,6.74252,5.76946,313,10,"Dice Rolling, Pick-up and Deliver, Point to Point Movement",598,"Adventure, Fantasy, Humor, Medieval, Renaissance, Travel","Inka Brand, Markus Brand, Michael Rieneck",1.8571
9021,Sunken City,2,4,45,45,2004,6.166919999999999,5.769419999999999,820,8,"Campaign / Battle Card Driven, Modular Board, Pick-up and Deliver, Point to Point Movement, Press Your Luck, Roll / Spin and Move, Tile Placement",1279,"Adventure, Ancient, Exploration, Mythology","Michael Kiesling, Wolfgang Kramer",1.9897
203740,Age of Thieves,2,4,60,120,2016,7.02004,5.769419999999999,259,14,"Action / Movement Programming, Action Point Allowance System, Simultaneous Action Selection, Variable Player Powers",558,"Fantasy, Miniatures, Renaissance, Spies/Secret Agents",Sławomir Stępień,2.6
192185,Matryoshka,3,5,20,20,2016,6.769019999999999,5.769369999999999,316,8,"Hand Management, Set Collection, Trading",629,Card Game,Sérgio Halaban,1.6
181440,Hack Trick,2,4,15,25,2015,6.6348,5.76905,400,10,"Area Control / Area Influence, Hand Management, Variable Player Powers",612,"Abstract Strategy, Card Game, Deduction",József Dorsonczky,1.4286
162865,"I, Spy",2,4,90,90,2015,7.38133,5.769019999999999,203,13,"Hand Management, Point to Point Movement",386,"Bluffing, Deduction, Spies/Secret Agents, World War I",C. Simon Reid,3.04
165595,JamSumo,2,4,30,30,2014,7.45915,5.76894,179,6,none,217,Action / Dexterity,Gavin Birnbaum,2.0
147299,Pocket Imperium,2,4,30,45,2013,6.3583099999999995,5.76892,558,12,"Action / Movement Programming, Area Control / Area Influence, Modular Board, Simultaneous Action Selection",1576,"Print & Play, Science Fiction, Space Exploration, Territory Building",David J. Mortimer,1.9355
3040,Star Trek: Starship Tactical Combat Simulator,2,6,30,120,1983,6.682860000000001,5.76864,392,10,"Hex-and-Counter, Simultaneous Action Selection",834,"Aviation / Flight, Movies / TV / Radio theme, Science Fiction","Forest Brown, David F. Tepool, Wm. John Wheeler",2.8696
104627,Feudalia,1,4,90,90,2011,7.4334,5.76841,179,14,"Card Drafting, Deck / Pool Building, Hand Management, Trading, Worker Placement",324,"Card Game, City Building, Civilization, Medieval, Negotiation",Fernando Abad,3.1538
41090,Magnate,2,2,45,45,2008,7.32216,5.7679800000000006,190,13,"Area Control / Area Influence, Dice Rolling, Hand Management",208,"Card Game, City Building, Economic",Cristyn Magnus,2.2
